species_id,phylum_lat,class_lat,order_lat,family_lat,taxon_lat_original,taxon_lat,genus_lat,nativeness_hu,Maximum magasság,Életforma,Szociális magatartási típus,Flóraelem besorolás,invasion_status_hu,Terjedési stratégia,Virágzás kezdete,Virágzás időtartama,WZ,WB,FS,ELLF,RZ,LB,ELLS,NS,NB,ELLN
490,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex flacca Schreb.,Carex flacca,Carex,őshonos,50,He-Ge,G,EUR,,Allium,5,2,3,7,0,6,4,7,1,3,3,4
491,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex flava agg.,Carex flava,Carex,őshonos,50,He,S,EUA,,Allium,5,2,9,9,4,9,0,8,0,2,4,2
492,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex fritschii Waisb.,Carex fritschii,Carex,őshonos,45,He,S,CEU,,Allium,4,2,4,4,2,4,2,6,0,1-2,4,4
493,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex halleriana Asso,Carex halleriana,Carex,őshonos,30,He,S,SME,,Allium,4,1,3,3,2,3,5,7,0,1-2,3,3
494,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex hartmanii Cajander,Carex hartmanii,Carex,őshonos,70,He,Su,,,Allium,5,2,9,8,4,,4,8,,2,5,
495,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex hirta L.,Carex hirta,Carex,őshonos,60,He-Ge,DT,EUR,,Allium,5,2,7,7,3-4,6,0,7,0,3,5,5
496,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex hordeistichos Vill.,Carex hordeistichos,Carex,őshonos,30,He,G,PoP,,Allium,5,2,,8,4,7,,9,2,2,4,5
497,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex hostiana DC.,Carex hostiana,Carex,őshonos,45,He,S,EUR,,Allium,5,2,9,9,4,9,5,8,0,1-2,2,2
498,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex humilis Leyss.,Carex humilis,Carex,őshonos,10,He,C,CON,,Allium,3,2,2,3,2,2,5,7,0,2,3,3
499,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex lasiocarpa Ehrh.,Carex lasiocarpa,Carex,őshonos,100,He-HH,Cu,CIR,,Sparganium,5,2,10,9,4,9,2,9,0,1-2,3,3
500,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex lepidocarpa Tausch,Carex lepidocarpa,Carex,őshonos,50,He,G,EUR,,Allium,5,1,7,9,4,9,5,9,0,2,2,2
501,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex limosa L.,Carex limosa,Carex,őshonos,35,He-Ge,Su,CIR,,Sparganium,5,2,,9,4,9,,9,0,1-2,2,2
502,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex liparicarpos Gaudin,Carex liparicarpos,Carex,őshonos,25,He-Ge,G,PoM,,Allium,4,2,2,2,2,,4,9,,2,2,
503,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex melanostachya M. Bieb. ex Willd.,Carex melanostachya,Carex,őshonos,50,He-Ge,G,CON,,Allium,5,2,10,9,4,,5,7,,2,4,
504,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex michelii Host,Carex michelii,Carex,őshonos,30,He-Ge,G,SMO,,Allium,4,2,3,4,2-3,3,4,7,0,2-3,4,3
505,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex montana L.,Carex montana,Carex,őshonos,30,He,S,CON,,Allium,3,3,4,5,2-3,4,3,5,0,2,3,3
506,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex muricata agg.,Carex muricata,Carex,őshonos,,,,,,Allium,,,,,,4,,,0,,,6
507,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex nigra (L.) Reichard,Carex nigra,Carex,őshonos,25,He-Ge(HH),G,KOZ,,Allium,5,2,9,9,4,8,3,8,1,1-2,2,2
508,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex otrubae Podp.,Carex otrubae,Carex,őshonos,70,He,G,EUA,,Allium,5,3,9,8,4,8,4,8,1,2-3,5,6
509,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex ovalis Gooden.,Carex ovalis,Carex,őshonos,60,He,DT,CIR,,Allium,5,2,8,7,4,7,3,7,0,2-3,4,3
510,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex pairaei F.W. Schultz,Carex pairaei,Carex,őshonos,60,He,DT,EUA,,Allium,6,2,3,5,3,,4,6,,2,4,
511,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex pallescens L.,Carex pallescens,Carex,őshonos,45,He,DT,CIR,,Allium,4,3,6,6,0,6,3,7,0,2,4,3
512,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex panicea L.,Carex panicea,Carex,őshonos,40,He-Ge,G,CIR,,Allium,5,2,7,8,4,8,0,8,1,2,3,4
513,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex paniculata L.,Carex paniculata,Carex,őshonos,100,He,C,EUR,,Sparganium,5,2,10,9,4,9,4,7,0,2,4,4
514,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex pendula Huds.,Carex pendula,Carex,őshonos,150,He,S,AsM,,Sparganium,5,2,9,8,4,8,3,4,0,3,5,6
515,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex pilosa Scop.,Carex pilosa,Carex,őshonos,40,He-Ge,C,SAR,,Allium,4,2,4,5,3,5,3,4,0,2,5,5
516,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex pilulifera L.,Carex pilulifera,Carex,őshonos,40,He,Sr,EUR,,Allium,4,2,4,4,2,5,1,6,0,2-3,5,3
517,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex praecox Schreb.,Carex praecox,Carex,őshonos,30,He-Ge,G,EUA,,Allium,3,2,3,3,2-3,3,4,9,0,2,3,4
518,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex pseudocyperus L.,Carex pseudocyperus,Carex,őshonos,80,He-HH,S,CIR,,Sparganium,5,2,10,10,4,9,4,7,0,2-3,5,5
519,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex randalpina B. Wallnöfer,Carex randalpina,Carex,őshonos,,,,,,Allium,,,,,,,,,,,,
520,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex remota L.,Carex remota,Carex,őshonos,60,He,C,CIR,,Sparganium,5,3,8,8,4,8,3,4,0,3,6,
521,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex repens Bellardi,Carex repens,Carex,őshonos,70,He-Ge,Su,CEU,,Allium,5,3,9,9,4,,,7,,2,4,
522,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex riparia Curtis,Carex riparia,Carex,őshonos,130,He-Ge,C,EUA,,Sparganium,5,2,10,10,4,9,0,7,0,2-3,4,4
523,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex rostrata Stokes,Carex rostrata,Carex,őshonos,70,He(-Ge),C,CIR,,Sparganium,5,2,10,10,4,10,2,9,0,2-3,3,3
524,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex secalina Willd. ex Wahlenb.,Carex secalina,Carex,őshonos,30,He,G,EUA,,Allium,5,2,7,7,4,7,5,8,2,2,4,
525,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex spicata Huds.,Carex spicata,Carex,őshonos,50,He,DT,EUA,,Allium,5,3,6,5,3,4,4,7,0,2-3,4,4
526,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex stenophylla Wahlenb.,Carex stenophylla,Carex,őshonos,20,He-Ge,G,CIR,,Allium,4,2,2,3,2,,4,9,,2,3,
527,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex strigosa Huds.,Carex strigosa,Carex,őshonos,60,He,S,AsM,,Allium,5,2,6,7,3-4,7,4,3,0,2,6,6
528,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex supina Willd. ex Wahlenb.,Carex supina,Carex,őshonos,15,He-Ge,G,CON,,Allium,4,2,2,2,2,2,3,7,0,1-2,2,2
529,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex sylvatica Huds.,Carex sylvatica,Carex,őshonos,70,He,G,EUR,,Allium,5,2,6,6,3-4,5,4,3,0,2-3,5,5
530,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex tomentosa L.,Carex tomentosa,Carex,őshonos,40,He-Ge,G,EUA,,Allium,4,2,4,6,3-4,7,4,6,0,2-3,5,
531,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex umbrosa Host,Carex umbrosa,Carex,őshonos,40,He,Gr,CEU,,Allium,4,2,6,5,3,5,3,5,0,2,4,4
532,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex vesicaria L.,Carex vesicaria,Carex,őshonos,80,He,C,CIR,,Sparganium,5,2,10,9,4,9,4,7,0,2-3,5,5
533,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex viridula Michx.,Carex viridula,Carex,őshonos,20,He,G,EUA,,Allium,5,2,8,8,4,9,0,8,2,2,4,2
534,Angiospermae,Liliopsida,Poales,Cyperaceae,Carex vulpina L. s. str.,Carex vulpina,Carex,őshonos,80,He,DT,EUA,,Allium,5,3,9,8,4,8,4,9,0,2-3,5,5
535,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carlina acaulis L.,Carlina acaulis,Carlina,őshonos,30,He,S,CEU,,Epilobium,7,3,4,5,2,4,3,7,0,1-2,2,2
536,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carlina vulgaris L. s. l.,Carlina vulgaris,Carlina,őshonos,100,HT,DT,EUA,,Epilobium,7,4,2,4,2-3,4,4,7,0,2,3,3
537,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carpesium abrotanoides L.,Carpesium abrotanoides,Carpesium,rejtett honosságú,80,Th,Gr,ADV,meghonosodott faj,Allium,7,3,6,7,3-4,,5,5,,2-3,4,
538,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carpesium cernuum L.,Carpesium cernuum,Carpesium,rejtett honosságú,80,Th-HT,DT,EUA,meghonosodott faj,Allium,7,3,6,7,3-4,5,5,5,0,2-3,7,7
539,Angiospermae,Magnoliopsida,Fagales,Betulaceae,Carpinus betulus L.,Carpinus betulus,Carpinus,őshonos,2500,MM,C,CEU,,Epilobium,4,1,5,6,3,,3,4,0,2-4,5,
540,Angiospermae,Magnoliopsida,Fagales,Betulaceae,Carpinus orientalis Mill.,Carpinus orientalis,Carpinus,őshonos,1000,MM,Su,BAL,,Epilobium,4,1,3,4,2,,4,6,,1,4,
541,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carthamus lanatus L.,Carthamus lanatus,Carthamus,idegenhonos,80,Th,DT,PoM,meghonosodott faj,Allium,6,3,,3,2,,,8,,2-3,4,
542,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carthamus tinctorius L.,Carthamus tinctorius,Carthamus,idegenhonos,90,Th,,,alkalmi faj,Zea,7,3,,,,,,,,,,
543,Angiospermae,Magnoliopsida,Apiales,Apiaceae,Carum carvi L.,Carum carvi,Carum,rejtett honosságú,60,He,DT,EUA,meghonosodott faj,Allium,4,3,7,7,3,5,3,8,1,0,6,6
544,Angiospermae,Magnoliopsida,Fagales,Fagaceae,Castanea sativa Mill.,Castanea sativa,Castanea,rejtett honosságú,3000,MM,S,SME,meghonosodott faj,Cornus,6,1,4,5,3,,2,5,0,,4,
545,Angiospermae,Liliopsida,Poales,Poaceae,Catabrosa aquatica (L.) Beauv.,Catabrosa aquatica,Catabrosa,őshonos,60,He,G,CIR,,Sparganium,5,5,9,9,4,9,4,8,1,4,8,8
546,Angiospermae,Magnoliopsida,Lamiales,Bignoniaceae,Catalpa bignonioides Walter,Catalpa bignonioides,Catalpa,idegenhonos,1000,MM,,,meghonosodott faj,Epilobium,6,2,,,,,,,,,,
547,Angiospermae,Magnoliopsida,Apiales,Apiaceae,Caucalis platycarpos L.,Caucalis platycarpos,Caucalis,idegenhonos,40,Th,W,SME,meghonosodott faj,Bidens,5,2,3,4,2,4,5,6,0,2-3,4,4
548,Pinophyta,Pinopsida,Pinales,Pinaceae,Cedrus atlantica (Endl.) Carrière,Cedrus atlantica,Cedrus,idegenhonos,3000,MM,,,alkalmi faj,Zea,10,1,,,,,,,,,,
549,Pinophyta,Pinopsida,Pinales,Pinaceae,Cedrus deodara (D. Don) G. Don,Cedrus deodara,Cedrus,idegenhonos,3000,MM,,,alkalmi faj,Zea,10,1,,,,,,,,,,
550,Angiospermae,Magnoliopsida,Caryophyllales,Amaranthaceae,Celosia argentea L.,Celosia argentea,Celosia,idegenhonos,50,Th,,,alkalmi faj,Zea,8,2,,,,,,,,,,
551,Angiospermae,Magnoliopsida,Rosales,Ulmaceae,Celtis australis L.,Celtis australis,Celtis,idegenhonos,2500,MM,I,ADV,meghonosodott faj,Cornus,4,2,,,,,,,,,,
552,Angiospermae,Magnoliopsida,Rosales,Ulmaceae,Celtis occidentalis L.,Celtis occidentalis,Celtis,idegenhonos,2000,MM,I,ADV,átalakító faj,Cornus,4,2,5,,,,4,,,,,
553,Angiospermae,Liliopsida,Poales,Poaceae,Cenchrus incertus M.A. Curtis,Cenchrus incertus,Cenchrus,idegenhonos,40,Th,W,ADV,özönfaj,Bidens,6,3,2,2,2,,5,9,,,2,
554,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea arenaria M. Bieb. ex Willd.,Centaurea arenaria,Centaurea,őshonos,120,HT-He,G,PoP,,Allium,6,4,1,1,2,,4,9,,1,1,
555,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea calcitrapa L.,Centaurea calcitrapa,Centaurea,rejtett honosságú,50,Th-HT,W,AsM,meghonosodott faj,Allium,7,3,4,4,2,5,4,9,0,3,6,6
556,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea cyanus L.,Centaurea cyanus,Centaurea,idegenhonos,80,Th,W,KOZ,meghonosodott faj,Allium,5,5,3,4,2-3,,3,7,0,3-4,7,
557,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea diffusa Lam.,Centaurea diffusa,Centaurea,idegenhonos,50,Th-HT,A,ADV,meghonosodott faj,Allium,7,4,4,3,2,3,4,9,0,2-3,4,3
558,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea indurata Janka,Centaurea indurata,Centaurea,őshonos,100,He,G,DAC,,Allium,7,3,3,4,2-3,,3,7,,2,4,
559,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea jacea L. s. l.,Centaurea jacea,Centaurea,őshonos,120,He,G,EUA,,Allium,6,5,6,5,2-3,,0,8,0,2,4,
560,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea mollis Waldst. et Kit.,Centaurea mollis,Centaurea,őshonos,80,He,Sr,ILL,,Allium,6,2,4,6,2-3,5,5,5,0,2-3,6,6
561,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea nigrescens Willd.,Centaurea nigrescens,Centaurea,őshonos,100,He,G,CEU,,Allium,7,2,6,6,2-3,4,3,8,0,2,4,6
562,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea pseudophrygia C.A. Mey.,Centaurea pseudophrygia,Centaurea,őshonos,120,He,G,EUR,,Allium,7,3,6,6,3,5,2,7,0,2,4,4
563,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea salonitana Vis.,Centaurea salonitana,Centaurea,idegenhonos,150,He,A,ADV,alkalmi faj,Allium,7,2,3,,,,4,,,,,
564,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea scabiosa L. s. l.,Centaurea scabiosa,Centaurea,őshonos,150,He,G,EUA,,Allium,5,6,3,3,1-2,3,4,7,0,2,3,4
565,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea solstitialis L.,Centaurea solstitialis,Centaurea,idegenhonos,100,Th-HT,W,EUA,meghonosodott faj,Allium,7,5,3,4,2,4,0,9,0,3,6,6
566,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea stenolepis A. Kern.,Centaurea stenolepis,Centaurea,őshonos,100,He,G,PON,,Allium,7,3,4,5,3,4,2,7,0,2,3,4
567,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea stoebe L.,Centaurea stoebe,Centaurea,rejtett honosságú,150,HT-He,,EUR,meghonosodott faj,Allium,6,5,2,2,2,,4,,,,,
568,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Centaurea triumfetti All.,Centaurea triumfetti,Centaurea,őshonos,50,He,S,EUA,,Allium,5,2,2,2,2-3,4,5,9,0,2,1,4
569,Angiospermae,Magnoliopsida,Gentianales,Gentianaceae,Centaurium erythraea Raf.,Centaurium erythraea,Centaurium,őshonos,50,Th-HT,G,EUA,,Allium,6,4,5,5,2-3,5,3,8,0,2-3,5,6
570,Angiospermae,Magnoliopsida,Gentianales,Gentianaceae,Centaurium littorale (Turn.) Gil. subsp. uliginosum (Waldst. et Kit.) Mel.,Centaurium littorale,Centaurium,őshonos,30,Th-HT,G,PoP,,Allium,6,4,7,6,3,7,4,8,2,1,2,3
571,Angiospermae,Magnoliopsida,Gentianales,Gentianaceae,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum,Centaurium,őshonos,15,Th,DT,EUA,,Allium,6,4,7,7,3-4,,4,9,1,2,4,4
572,Angiospermae,Magnoliopsida,Ericales,Primulaceae,Centunculus minimus L.,Centunculus minimus,Centunculus,idegenhonos,5,Th,NP,KOZ,meghonosodott faj,Sparganium,6,3,6,6,2-3,7,2,7,0,1-2,3,3
573,Angiospermae,Liliopsida,Asparagales,Orchidaceae,Cephalanthera damasonium (Mill.) Druce,Cephalanthera damasonium,Cephalanthera,őshonos,60,Ge,G,CEU,,Lycopodium,5,2,4,4,3,4,4,4,0,2-3,4,4
574,Angiospermae,Liliopsida,Asparagales,Orchidaceae,Cephalanthera longifolia (L.) Fritsch,Cephalanthera longifolia,Cephalanthera,őshonos,60,Ge,G,EUR,,Lycopodium,4,3,4,4,3,4,4,5,0,2,4,4
575,Angiospermae,Liliopsida,Asparagales,Orchidaceae,Cephalanthera rubra (L.) Fritsch,Cephalanthera rubra,Cephalanthera,őshonos,60,Ge,G,EUR,,Lycopodium,5,2,3,3,3,3,5,4,0,2,3,4
576,Angiospermae,Magnoliopsida,Dipsacales,Caprifoliaceae,Cephalaria transsylvanica (L.) Schrad.,Cephalaria transsylvanica,Cephalaria,őshonos,120,Th,DT,SME,,Allium,7,4,3,3,1-2,,4,9,,1,3,
577,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium arvense L.,Cerastium arvense,Cerastium,őshonos,30,He(-Ch),G,CIR,,Allium,4,3,1,2,2,4,4,8,0,2,4,4
578,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium brachypetalum agg.,Cerastium brachypetalum,Cerastium,őshonos,40,Th,NP,SME,,Allium,4,3,3,3,2,3,3,9,0,1-2,2,2
579,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium dubium (Bastard) Guépin,Cerastium dubium,Cerastium,őshonos,30,Th,NP,PoM,,Allium,4,3,,5,2-3,8,,9,2,1,1,5
580,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium fontanum agg.,Cerastium fontanum,Cerastium,őshonos,,,DT,KOZ,,Allium,,,5,5,2-3,5,0,7,0,2-3,5,5
581,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium glomeratum Thuill.,Cerastium glomeratum,Cerastium,őshonos,20,Th,G,KOZ,,Allium,5,4,,5,3,5,,7,0,2-3,5,5
582,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium glutinosum agg.,Cerastium glutinosum,Cerastium,őshonos,15,Th,,,,Allium,4,3,,,,,,,,,,
583,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium lucorum (Schur) Möschl,Cerastium lucorum,Cerastium,őshonos,60,He(HT Ch),,,,Allium,4,3,,,,,,,,,,
584,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium pumilum Curtis,Cerastium pumilum,Cerastium,őshonos,15,Th,NP,EUR,,Allium,4,3,,2,2-3,2,,8,0,,2,2
585,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium semidecandrum L.,Cerastium semidecandrum,Cerastium,őshonos,20,Th,NP,SME,,Allium,3,3,3,2,2,3,0,9,0,2,2,
586,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium subtetrandrum (Lange) Murb.,Cerastium subtetrandrum,Cerastium,őshonos,15,Th,S,SAT,,Allium,5,2,,6,3,4,,9,0,1,2,2
587,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium sylvaticum Waldst. et Kit.,Cerastium sylvaticum,Cerastium,őshonos,50,He(-HT?),G,CEU,,Allium,6,3,6,7,3,,0,4,,2,4,
588,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium tenoreanum Ser.,Cerastium tenoreanum,Cerastium,őshonos,30,Th,,,,Allium,4,3,,,,3,,,0,,,2
589,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium tomentosum L.,Cerastium tomentosum,Cerastium,idegenhonos,30,Ch,,,alkalmi faj,Zea,5,3,,,,,,,,,,
590,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium vulgare Hartm.,Cerastium vulgare,Cerastium,őshonos,50,He(HT  Ch),,,,Allium,5,5,,,,5,,,1,,,5
591,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Cerasus avium (L.) Moench,Cerasus avium,Cerasus,őshonos,2500,MM,S,SME,,Cornus,4,1,5,6,3,5,3,4,0,3,5,5
592,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Cerasus fruticosa (Pall.) Woronow,Cerasus fruticosa,Cerasus,őshonos,100,M,G,PON,,Cornus,4,2,2,3,1-2,3,4,8,0,2,4,
593,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Cerasus mahaleb (L.) Mill.,Cerasus mahaleb,Cerasus,rejtett honosságú,600,MM(-M),C,PoM,meghonosodott faj,Cornus,4,2,2,3,1-2,3,5,7,0,2-3,2,2
594,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Cerasus vulgaris Mill.,Cerasus vulgaris,Cerasus,idegenhonos,1200,MM-M,I,ADV,alkalmi faj,Cornus,4,2,4,,3,,5,,,2,,
595,Angiospermae,Magnoliopsida,Ranunculales,Ranunculaceae,Ceratocephala falcata (L.) Pers.,Ceratocephala falcata,Ceratocephala,idegenhonos,10,Th,,,alkalmi faj,Allium,3,3,,,,4,,,0,,,4
596,Angiospermae,Magnoliopsida,Ranunculales,Ranunculaceae,Ceratocephala testiculata (Crantz) Roth,Ceratocephala testiculata,Ceratocephala,idegenhonos,5,Th,NP,TUR,meghonosodott faj,Allium,3,3,,2,1-2,,,9,,,2,
597,Angiospermae,Magnoliopsida,Ceratophyllales,Ceratophyllaceae,Ceratophyllum demersum L.,Ceratophyllum demersum,Ceratophyllum,őshonos,100,HH,C,KOZ,,Wolffia,6,5,11,12,5,12,5,6,0,4,8,8
598,Angiospermae,Magnoliopsida,Ceratophyllales,Ceratophyllaceae,Ceratophyllum submersum L.,Ceratophyllum submersum,Ceratophyllum,őshonos,100,HH,C,EUA,,Wolffia,6,3,11,12,5,12,5,5,0,3-4,7,7
599,Angiospermae,Magnoliopsida,Ceratophyllales,Ceratophyllaceae,Ceratophyllum tanaiticum Sapjegin,Ceratophyllum tanaiticum,Ceratophyllum,őshonos,,,,,,Wolffia,,,,,,,,,,,,
600,Pterophyta,Polypodiopsida,Polypodiales,Pteridaceae,Ceratopteris thalictroides (L.) Brongn.,Ceratopteris thalictroides,Ceratopteris,idegenhonos,100,HH,,,meghonosodott faj,Lycopodium,,,,,,,,,,,,
601,Angiospermae,Magnoliopsida,Fabales,Fabaceae,Cercis siliquastrum L.,Cercis siliquastrum,Cercis,idegenhonos,1000,MM(-M),I,ADV,meghonosodott faj,Zea,4,2,,,,,,,,,,
602,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cerinthe minor L.,Cerinthe minor,Cerinthe,őshonos,50,Th(-He),W,PoM,,Allium,5,3,3,4,2,4,,8,0,2-3,4,4
603,Angiospermae,Magnoliopsida,Apiales,Apiaceae,Chaerophyllum aromaticum L.,Chaerophyllum aromaticum,Chaerophyllum,őshonos,150,(HT-)He,G,PON,,Allium,6,3,7,7,3,7,3,6,0,3-4,8,8
604,Angiospermae,Magnoliopsida,Apiales,Apiaceae,Chaerophyllum aureum L.,Chaerophyllum aureum,Chaerophyllum,őshonos,120,He,Gr,CEU,,Allium,6,2,6,6,3,5,3,6,0,,8,9
605,Angiospermae,Magnoliopsida,Apiales,Apiaceae,Chaerophyllum bulbosum L.,Chaerophyllum bulbosum,Chaerophyllum,őshonos,200,Th-HT,W,EUA,,Allium,5,4,,7,3,7,,7,0,4,8,8
606,Angiospermae,Magnoliopsida,Apiales,Apiaceae,Chaerophyllum hirsutum L. s. str.,Chaerophyllum hirsutum,Chaerophyllum,őshonos,120,He,Gr,CEU,,Allium,5,3,,8,5,8,,6,0,4,7,7
607,Angiospermae,Magnoliopsida,Apiales,Apiaceae,Chaerophyllum temulum L.,Chaerophyllum temulum,Chaerophyllum,őshonos,80,Th-HT,DT,EUR,,Allium,5,2,5,5,0,5,4,5,0,4-5,7,8
608,Pinophyta,Pinopsida,Pinales,Cupressaceae,Chamaecyparis lawsoniana (A. Murray) Parl.,Chamaecyparis lawsoniana,Chamaecyparis,idegenhonos,3000,MM,,,alkalmi faj,Zea,5,1,,,,,,,,,,
609,Angiospermae,Magnoliopsida,Fabales,Fabaceae,Chamaecytisus albus (Hacq.) Rothm.,Chamaecytisus albus,Chamaecytisus,őshonos,60,N,G,PoP,,Allium,6,3,3,3,2,,3,8,,1,1,
610,Angiospermae,Magnoliopsida,Fabales,Fabaceae,Chamaecytisus austriacus agg.,Chamaecytisus austriacus,Chamaecytisus,őshonos,50,N(-Ch),G,PoP,,Allium,6,3,2,3,1-2,,5,8,,1,1,
611,Angiospermae,Magnoliopsida,Fabales,Fabaceae,Chamaecytisus ciliatus agg.,Chamaecytisus ciliatus,Chamaecytisus,őshonos,60,N,G,CAR,,Allium,4,3,1,1,1,,5,9,,1,1,
612,Angiospermae,Magnoliopsida,Fabales,Fabaceae,Chamaecytisus heuffelii (Wierzb.) Rothm.,Chamaecytisus heuffelii,Chamaecytisus,őshonos,60,N(-Ch),Gu,DAC,,Allium,6,2,3,3,1-2,,4,7,,1,2,
613,Angiospermae,Magnoliopsida,Fabales,Fabaceae,Chamaecytisus ratisbonensis (Schaeff.) Rothm.,Chamaecytisus ratisbonensis,Chamaecytisus,őshonos,30,N(Ch),G,CON,,Allium,4,2,2,2,1-2,4,4,7,0,1,1,2
614,Angiospermae,Magnoliopsida,Fabales,Fabaceae,Chamaecytisus rochelii (Wierzb.) Rothm.,Chamaecytisus rochelii,Chamaecytisus,őshonos,70,N,,,,Allium,6,3,,,,,,,,,,
615,Angiospermae,Magnoliopsida,Fabales,Fabaceae,Chamaecytisus supinus (L.) Link,Chamaecytisus supinus,Chamaecytisus,őshonos,60,N,G,CEU,,Allium,7,2,3,4,2,3,3,7,0,1,1,1
616,Angiospermae,Magnoliopsida,Fabales,Fabaceae,Chamaecytisus triflorus (Lam.) Skalická,Chamaecytisus triflorus,Chamaecytisus,őshonos,80,N,G,PaB,,Allium,3,3,3,3,2,,,8,,1,2,
617,Angiospermae,Magnoliopsida,Fabales,Fabaceae,Chamaecytisus virescens (Kováts ex Neilr.) Dostál,Chamaecytisus virescens,Chamaecytisus,őshonos,70,N,,,,Allium,6,3,,,,,,,,,,
